Gene,Log2FoldChange,pvalue
ENSG00000000003,0.299396331,0.028631323
ENSG00000000419,-0.181918631,0.042263134
ENSG00000000457,-0.027480783,0.787123352
ENSG00000000460,0.050718445,0.697652212
ENSG00000000971,-0.265478942,0.088625863
ENSG00000001036,0.208718971,0.042888731
ENSG00000001084,0.016819986,0.898335348
ENSG00000001167,0.369260119,0.020277322
ENSG00000001460,0.097099357,0.41885527
ENSG00000001461,0.019511811,0.883543533
ENSG00000001497,0.002243087,0.97986964
ENSG00000001561,-0.021957775,0.755110785
ENSG00000001617,0.183732062,0.148103208
ENSG00000001626,0.186693272,0.097977738
ENSG00000001629,0.188394857,0.08535572
ENSG00000001630,-0.005004493,0.967579683
ENSG00000001631,0.031444836,0.735590111
ENSG00000002016,0.24406062,0.054891084
ENSG00000002079,0.055203905,0.193793365
ENSG00000002330,-0.069132335,0.534228029
ENSG00000002549,-0.131276236,0.281716026
ENSG00000002586,-0.073066088,0.470710369
ENSG00000002745,0.01894265,0.770807333
ENSG00000002746,-0.049179913,0.704119553
ENSG00000002822,0.127815722,0.237757774
ENSG00000002834,-0.370254505,9.54E-05
ENSG00000002919,-0.332759468,0.007651178
ENSG00000002933,-0.01240845,0.777092917
ENSG00000003056,0.063808415,0.434632384
ENSG00000003096,0.851206391,8.57E-07
ENSG00000003137,0.321913636,0.036454574
ENSG00000003249,0.136738825,0.318477575
ENSG00000003393,-0.130671149,0.27069894
ENSG00000003400,0.139597045,0.294968107
ENSG00000003402,-1.140175375,4.49E-13
ENSG00000003436,0.142189251,0.274933804
ENSG00000003509,0.043273142,0.669869074
ENSG00000003756,0.169214523,0.039774322
ENSG00000003987,-0.76079842,0.002504945
ENSG00000003989,-0.091530553,0.315752157
ENSG00000004059,-0.339704385,0.000377575
ENSG00000004139,0.113593512,0.365969712
ENSG00000004142,-0.12159719,0.237547029
ENSG00000004399,0.007552899,0.95682814
ENSG00000004455,-0.036713692,0.757887573
ENSG00000004468,0.044426795,0.352803317
ENSG00000004478,0.057530265,0.567052607
ENSG00000004487,0.281056729,0.000297435
ENSG00000004534,0.155538718,0.162523496
ENSG00000004660,0.31901802,0.063444157
ENSG00000004700,-0.330030192,0.001630692
ENSG00000004766,0.026698912,0.757131005
ENSG00000004776,0.034115074,0.796267835
ENSG00000004777,0.195451224,0.18409048
ENSG00000004779,-0.07593682,0.480548274
ENSG00000004799,-0.21533013,0.004758705
ENSG00000004838,0.114347061,0.341922812
ENSG00000004846,0.999121684,0.007271091
ENSG00000004864,-0.003535016,0.976914831
ENSG00000004866,0.500154397,0.001082416
ENSG00000004897,-0.05006589,0.470808531
ENSG00000004961,0.119559844,0.296437547
ENSG00000004975,0.237016926,0.075896401
ENSG00000005007,-0.224330922,0.003923332
ENSG00000005020,-0.137069512,0.292760675
ENSG00000005022,0.030691542,0.757290321
ENSG00000005059,-0.063425317,0.627394154
ENSG00000005075,-0.050065059,0.614356826
ENSG00000005100,-0.323976754,0.004968937
ENSG00000005108,-0.131577184,0.259726934
ENSG00000005156,0.174203372,0.227192055
ENSG00000005175,0.116313978,0.395085353
ENSG00000005187,0.00386397,0.969775925
ENSG00000005189,0.169872866,0.234549668
ENSG00000005194,-0.136445563,0.172105501
ENSG00000005206,-0.061239031,0.475734932
ENSG00000005238,0.15597454,0.128954319
ENSG00000005243,0.070905847,0.545620906
ENSG00000005249,-0.527483612,0.002736676
ENSG00000005302,-0.12307715,0.267149436
ENSG00000005339,0.074758003,0.446146084
ENSG00000005379,-0.139225691,0.312087955
ENSG00000005381,0.000220296,0.999414803
ENSG00000005436,-0.11780947,0.289957583
ENSG00000005448,-0.245247984,0.053708959
ENSG00000005469,0.123613273,0.368720332
ENSG00000005471,0.837652713,0.005103875
ENSG00000005483,-0.071894987,0.449319134
ENSG00000005486,0.076141591,0.524590646
ENSG00000005513,0.086956575,0.259455422
ENSG00000005700,0.04116036,0.702148806
ENSG00000005801,0.242175228,0.059514697
ENSG00000005810,0.017865272,0.828602811
ENSG00000005812,-0.397835428,0.004517062
ENSG00000005882,0.049011482,0.641686749
ENSG00000005884,-0.186456003,0.201185729
ENSG00000005889,-0.052597061,0.680447178
ENSG00000005893,-0.061813307,0.424124837
ENSG00000005955,-0.091379043,0.31362679
ENSG00000005961,0.032422112,0.722940942
ENSG00000006007,-0.136698031,0.201215993
ENSG00000006015,0.02464343,0.850805395
ENSG00000006016,-0.052010058,0.643802293
ENSG00000006025,0.799683341,0.000211472
ENSG00000006042,0.025175775,0.768802546
ENSG00000006062,0.455991245,0.014455827
ENSG00000006114,0.487608326,4.43E-07
ENSG00000006118,0.39447432,0.010516543
ENSG00000006125,-0.038163916,0.675281021
ENSG00000006194,-0.087873354,0.374467913
ENSG00000006210,-0.129591065,0.105887625
ENSG00000006282,0.082465946,0.487888919
ENSG00000006283,0.711442435,0.011716107
ENSG00000006327,0.054249017,0.676252865
ENSG00000006432,0.02739448,0.731866523
ENSG00000006451,0.484415525,0.002471469
ENSG00000006453,0.146814058,0.244957223
ENSG00000006459,-0.007193748,0.954674219
ENSG00000006468,0.101297746,0.441803497
ENSG00000006530,-0.003901801,0.971277804
ENSG00000006534,-0.226666099,0.135606023
ENSG00000006576,0.328898742,0.030545866
ENSG00000006606,0.010009095,0.898709047
ENSG00000006607,-0.52025053,0.000581972
ENSG00000006625,0.088267812,0.509550504
ENSG00000006634,0.278081584,0.038432425
ENSG00000006638,0.475422937,0.011601049
ENSG00000006652,0.032938454,0.796114634
ENSG00000006695,-0.168785287,0.191030362
ENSG00000006704,0.133557411,0.295621077
ENSG00000006712,0.176602648,0.098571572
ENSG00000006715,0.046415606,0.652290716
ENSG00000006740,0.004251286,0.973716278
ENSG00000006744,-0.141244876,0.1260772
ENSG00000006747,-0.003738166,0.949073289
ENSG00000006756,-0.012938799,0.915973697
ENSG00000006757,-0.009469787,0.935887439
ENSG00000006788,-0.198105764,0.003054275
ENSG00000006831,-0.224972228,0.003033736
ENSG00000006837,0.249128593,0.094775611
ENSG00000007001,0.049237361,0.343191486
ENSG00000007038,-0.003349821,0.932620284
ENSG00000007047,-0.079614512,0.353213255
ENSG00000007080,-0.193682009,0.113169082
ENSG00000007168,-0.10087464,0.107761358
ENSG00000007171,0.013625149,0.7446386
ENSG00000007202,0.001610627,0.989347271
ENSG00000007237,0.075910259,NA
ENSG00000007255,-0.182307063,0.179701022
ENSG00000007312,-0.020799579,0.653810617
ENSG00000007341,-0.093855325,0.480870238
ENSG00000007372,-0.099153026,0.44435846
ENSG00000007376,-0.077408072,0.544220195
ENSG00000007384,-0.056957425,0.599893464
ENSG00000007392,0.157295651,0.056895769
ENSG00000007402,-0.10169935,0.346385936
